Day,Mom (M:V),Iboz (V:V),Aru (M:A),Oayo (V:C),Ucug (C:A),Oetomus (A:A),Ewuva (A:C),Mub (V:A),Ugeguq (M:M),
2,5,
3,6,1,1,
4,6,1,2,1,
5,6,1,2,4,
6,6,1,2,6,
7,6,1,3,9,2,
8,7,1,4,12,5,
9,7,1,4,14,5,
10,7,1,4,17,7,
11,8,1,4,22,8,
12,8,1,4,24,10,
13,8,1,5,26,11,
14,8,1,6,27,11,
15,8,1,6,29,12,
16,8,1,6,30,13,
17,8,1,6,31,15,
18,8,1,7,32,18,
19,8,1,7,32,19,
20,8,1,7,32,21,
21,8,1,7,32,22,
22,8,1,7,33,22,
23,8,1,7,34,23,
24,8,1,7,34,24,
25,8,1,7,36,25,
26,8,1,9,37,26,
27,8,1,9,37,26,
28,10,1,0,40,26,
29,10,1,0,42,26,1,
30,10,1,0,44,27,1,
31,10,1,0,46,28,1,
32,11,1,0,49,28,1,
33,11,1,0,50,29,2,
34,11,1,0,50,29,2,1,
35,11,1,0,51,29,2,1,
36,11,1,0,51,32,3,1,
37,11,1,0,54,32,3,1,
38,11,1,0,56,33,3,1,
39,11,1,0,57,33,3,1,
40,11,1,0,58,33,4,1,
41,11,1,0,58,33,4,1,
42,11,1,0,58,34,4,1,
43,11,1,0,60,34,4,1,
44,11,1,0,61,36,4,1,
45,11,1,0,64,37,6,1,
46,11,1,0,64,37,6,1,2,
47,11,1,0,66,38,6,1,4,
48,11,1,0,67,39,6,1,4,
49,11,1,0,67,39,6,1,4,
50,11,1,0,67,39,6,1,9,
51,11,1,0,68,39,6,1,10,
52,11,1,0,68,39,6,1,12,
53,11,1,0,68,39,6,1,13,
54,11,1,0,69,39,6,1,14,
55,11,1,0,70,39,6,1,15,
56,11,1,0,70,39,6,1,15,
57,11,1,0,70,39,6,1,15,3,
58,11,1,0,70,39,6,1,15,4,
59,11,1,0,70,39,6,1,15,5,
60,11,1,0,70,39,6,1,15,5,
61,11,1,0,71,39,6,1,15,6,
62,11,1,0,72,39,6,1,15,8,